text,complaint_type,sentiment
"Chai dùng ổn, nhưng nắp hơi khó vặn.",Chất lượng sản phẩm,Bình thường
Chai tạm ổn không quá xuất sắc,Chất lượng sản phẩm,Bình thường
"Dùng được vài tuần, thấy vẫn ổn.",Chất lượng sản phẩm,Bình thường
"Không có gì đặc biệt, nhưng cũng không tệ.",Chất lượng sản phẩm,Bình thường
Sản phẩm giống như mô tả và nhựa cũng tạm ổn.,Chất lượng sản phẩm,Bình thường
Chai không rò rỉ nhưng cảm giác cầm chưa chắc tay.,Chất lượng sản phẩm,Bình thường
Chai hơi to so với mong đợi,Chất lượng sản phẩm,Bình thường
"Thiết kế đơn giản, đúng như mô tả.",Chất lượng sản phẩm,Bình thường
Bình đẹp nhưng nhựa hơi mỏng,Chất lượng sản phẩm,Bình thường
Chưa dùng lần nào nên chưa biết sao,Chất lượng sản phẩm,Bình thường
"Độ bền chưa kiểm chứng được, dùng thử đã.",Chất lượng sản phẩm,Bình thường
"Chai khá cơ bản, không có điểm nổi bật.",Chất lượng sản phẩm,Bình thường
"Mẫu mã giống hình, chất lượng trung bình.",Chất lượng sản phẩm,Bình thường
"Vừa tay, chất lượng ở mức chấp nhận được.",Chất lượng sản phẩm,Bình thường
"Hình thức khá ổn, nhưng khi sử dụng thì cũng bình thường",Chất lượng sản phẩm,Bình thường
"Không có gì đặc biệt như quảng cáo, cũng bình thường.",Chất lượng sản phẩm,Bình thường
"Hàng không bị hỏng hóc, dùng được.",Chất lượng sản phẩm,Bình thường
Lần đầu sử dụng nên cũng không biết chất lượng ra sao.,Chất lượng sản phẩm,Bình thường
"Sản phẩm tương đối đúng mô tả, màu sắc hơi khác chút.",Chất lượng sản phẩm,Bình thường
"Nắp đậy kín, nhưng mở ra hơi khó.",Chất lượng sản phẩm,Bình thường
Bình hơi to nhưng cũng khác chắc chắn,Chất lượng sản phẩm,Bình thường
Màu sắc hơi nhạt so với hình ảnh trên mạng,Chất lượng sản phẩm,Bình thường
Chưa dùng thử nên chưa biết ,Chất lượng sản phẩm,Bình thường
"Nhựa không quá dày, cầm vừa phải.",Chất lượng sản phẩm,Bình thường
Bình đẹp nhưng nhựa hơi mỏng,Chất lượng sản phẩm,Bình thường
"Chai vừa dùng lần đầu đã rò nước, rất bực!",Chất lượng sản phẩm,Bực bội
Chai khá xấu tệ và không giống hình,Chất lượng sản phẩm,Bực bội
"Chai méo mó, không đứng vững, rất thất vọng.",Chất lượng sản phẩm,Bực bội
"Chai nước đến nơi bị móp méo, nhìn rất xấu.",Chất lượng sản phẩm,Bực bội
"Nắp vặn quá lỏng, nước chảy ra làm ướt hết túi.",Chất lượng sản phẩm,Bực bội
"Nhựa quá mỏng, cảm giác như sắp bể đến nơi.",Chất lượng sản phẩm,Bực bội
"Mua về mở ra có mùi nhựa nồng, cực kỳ khó chịu.",Chất lượng sản phẩm,Bực bội
Màu sắc khác hoàn toàn hình ảnh trên mạng.,Chất lượng sản phẩm,Bực bội
"Chai bị xước nhiều chỗ, giống như hàng trưng bày.",Chất lượng sản phẩm,Bực bội
"Gắn nắp không khít, nước rò ra từng giọt.",Chất lượng sản phẩm,Bực bội
"Cảm giác cầm cực kỳ ọp ẹp, không đáng tiền.",Chất lượng sản phẩm,Bực bội
"Chai bị rạn nứt ở đáy, không thể sử dụng",Chất lượng sản phẩm,Bực bội
"Chai lọ nhìn trầy xước, nhìn không mới.",Chất lượng sản phẩm,Bực bội
"Mua về dùng 1 tuần đã nứt, không thể chấp nhận.",Chất lượng sản phẩm,Bực bội
"Nắp rất khó mở, dùng sức mà vẫn không được.",Chất lượng sản phẩm,Bực bội
Không đúng kích thước ghi trong mô tả.,Chất lượng sản phẩm,Bực bội
Chất lượng quá kém so với giá bỏ ra.,Chất lượng sản phẩm,Bực bội
"Chai lọ có mùi lạ, nghi ngờ hàng giả.",Chất lượng sản phẩm,Bực bội
"Sản phẩm nhìn như hàng nhái, không đúng mô tả.",Chất lượng sản phẩm,Bực bội
"Chai cực kỳ dễ trầy xước, vừa dùng đã nhìn cũ.",Chất lượng sản phẩm,Bực bội
Chai lọ về bị trầy xước khắp nơi.,Chất lượng sản phẩm,Bực bội
"Thiết kế không hợp lý, dễ đổ và rò rỉ.",Chất lượng sản phẩm,Bực bội
"Chai dính đầy keo, trông như hàng cũ.",Chất lượng sản phẩm,Bực bội
"Chai lọ trầy xước, nhìn không mới.",Chất lượng sản phẩm,Bực bội
"Chai lọ đến nơi bị móp méo, nhìn rất xấu.",Chất lượng sản phẩm,Bực bội
"Chai chắc chắn, dùng rất yên tâm.",Chất lượng sản phẩm,Hài lòng
"Bình xinh lắm, dán tem vào đẹp hơn hẳn",Chất lượng sản phẩm,Hài lòng
"Nhựa cứng cáp, cảm giác an toàn khi sử dụng.",Chất lượng sản phẩm,Hài lòng
"Hình thức đẹp, đúng như hình ảnh.",Chất lượng sản phẩm,Hài lòng
Cảm giác cầm rất vừa tay và dễ sử dụng.,Chất lượng sản phẩm,Hài lòng
"Sản phẩm tốt hơn mong đợi, rất hài lòng.",Chất lượng sản phẩm,Hài lòng
"Thiết kế tinh tế, nhìn sang trọng.",Chất lượng sản phẩm,Hài lòng
"Sản phẩm không có lỗi nhỏ nào, rất ưng.",Chất lượng sản phẩm,Hài lòng
Thiết kế thông minh tiện lợi,Chất lượng sản phẩm,Hài lòng
Hàng đẹp lắm ạ,Chất lượng sản phẩm,Hài lòng
Mua về dùng thử thấy rất đáng tiền,Chất lượng sản phẩm,Hài lòng
"Chai rất đẹp, xịt ổn !!!",Chất lượng sản phẩm,Hài lòng
"Mẫu mã đẹp, chất lượng vượt mong đợi.",Chất lượng sản phẩm,Hài lòng
"Màu sắc đúng mô tả, chất liệu dày dặn.",Chất lượng sản phẩm,Hài lòng
Sản phẩm đúng như hình,Chất lượng sản phẩm,Hài lòng
"Nhựa trong suốt đẹp, dễ kiểm soát lượng nước.",Chất lượng sản phẩm,Hài lòng
Chai không bị trầy xước khi vận chuyển.,Chất lượng sản phẩm,Hài lòng
"Có thể tái sử dụng nhiều lần, thân thiện môi trường.",Chất lượng sản phẩm,Hài lòng
Chai lọ màu này siêu đẹp.,Chất lượng sản phẩm,Hài lòng
"Sản phẩm tốt, đẹp, bền và ổn định, chất lượng.",Chất lượng sản phẩm,Hài lòng
"Kích thước chuẩn, vừa vặn với túi xách.",Chất lượng sản phẩm,Hài lòng
Chất lượng sản phẩm tuyệt vời.,Chất lượng sản phẩm,Hài lòng
"Màu sắc đẹp, nhỏ gọn tiện mang theo",Chất lượng sản phẩm,Hài lòng
"Rửa dễ, không bị bám mùi.",Chất lượng sản phẩm,Hài lòng
"Chai nhẹ, tiện mang đi làm mỗi ngày.",Chất lượng sản phẩm,Hài lòng
"Cũng không rẻ, nhưng mua được khi có khuyến mãi.",Giá cả,Bình thường
Giá hơi cao so với sản phẩm cùng loại.,Giá cả,Bình thường
Giá khá cao nhưng chất lượng chấp nhận được.,Giá cả,Bình thường
"Không quá mắc, nhưng không phải giá tốt nhất.",Giá cả,Bình thường
Giá thay đổi tuỳ theo vị trí giao hàng.,Giá cả,Bình thường
Giá hơi cao nhưng đóng gói rất đẹp.,Giá cả,Bình thường
"Giá thay đổi tùy vào kích cỡ, cần rõ ràng hơn.",Giá cả,Bình thường
Giá có thể thấp hơn chút sẽ hợp lý hơn.,Giá cả,Bình thường
Combo giá tốt nhưng phải mua số lượng lớn.,Giá cả,Bình thường
Giá cả hơi cao nếu so với các sản phẩm tương tự.,Giá cả,Bình thường
Tôi mong chờ nhiều hơn với mức giá này.,Giá cả,Bình thường
Giá không phù hợp với thu nhập học sinh.,Giá cả,Bình thường
Giá combo không tiết kiệm như mong đợi.,Giá cả,Bình thường
Giá rẻ nhưng chất lượng cũng thường thôi.,Giá cả,Bình thường
Giá có thể tốt hơn nếu đặt từ xưởng.,Giá cả,Bình thường
Mua combo ba chai mà vẫn không rẻ hơn bao nhiêu.,Giá cả,Bình thường
"Chưa thấy ưu đãi nhiều, mong đợi đợt sale.",Giá cả,Bình thường
Mức giá này chấp nhận được với nhu cầu cơ bản.,Giá cả,Bình thường
Không có khuyến mãi gì khi mua.,Giá cả,Bình thường
"Cũng được, nhưng có thể rẻ hơn nếu mua số lượng.",Giá cả,Bình thường
"Mức giá trung bình, không quá cao.",Giá cả,Bình thường
Giá bán phù hợp với mẫu mã.,Giá cả,Bình thường
"Không phải mức tốt nhất, nhưng cũng không tệ.",Giá cả,Bình thường
Giá không tốt nếu chỉ mua một chai lẻ.,Giá cả,Bình thường
"Không thấy lời, nhưng cũng không thiệt.",Giá cả,Bình thường
Không thấy mã giảm giá áp dụng được.,Giá cả,Bực bội
"Đặt hàng hôm trước, hôm sau tăng giá rồi mới giao.",Giá cả,Bực bội
Hàng không đáng giá tiền.,Giá cả,Bực bội
Giá cao ngất mà chất lượng cực kỳ kém!,Giá cả,Bực bội
Mua đợt khuyến mãi nhưng bị tính giá gốc.,Giá cả,Bực bội
"Cảm giác như bị ""chém"", quá đắt!",Giá cả,Bực bội
"Giá trên web một kiểu, thanh toán một kiểu.",Giá cả,Bực bội
Đặt combo giá rẻ nhưng lại giao lẻ từng món.,Giá cả,Bực bội
Giá này mà chất liệu rẻ tiền như thế thì quá bức xúc.,Giá cả,Bực bội
Cùng mẫu này ở chỗ khác rẻ hơn gần một nửa.,Giá cả,Bực bội
"Bị tính phí ship cao ngất dù ghi là ""miễn phí"".",Giá cả,Bực bội
Giá niêm yết thấp nhưng toàn cộng thêm phụ phí.,Giá cả,Bực bội
"Mua xong mới thấy giảm giá, không được hoàn tiền.",Giá cả,Bực bội
Không xứng đáng với số tiền bỏ ra.,Giá cả,Bực bội
"Giá tăng vô lý sau vài ngày, cảm giác bị ép mua.",Giá cả,Bực bội
"Quá đắt so với chất lượng, cảm giác bị lừa.",Giá cả,Bực bội
"Không rõ ràng về thuế phí, tính thêm vô tội vạ.",Giá cả,Bực bội
"Mua combo nhưng giao lẻ, giá lại cao hơn từng cái.",Giá cả,Bực bội
"Mua nhiều mà không được giảm giá, quá thất vọng.",Giá cả,Bực bội
"So với sản phẩm khác, giá chênh lệch quá vô lý.",Giá cả,Bực bội
Giá gốc bị nâng lên rồi giảm như không.,Giá cả,Bực bội
Không được xuất hóa đơn dù yêu cầu.,Giá cả,Bực bội
Không đáng tiền với chất lượng như vậy.,Giá cả,Bực bội
Giá cao mà không đi kèm ưu đãi vận chuyển.,Giá cả,Bực bội
Sản phẩm bình thường mà giá lại tăng liên tục.,Giá cả,Bực bội
"Giá cả hợp lý, lần sau chắc chắn sẽ ủng hộ tiếp",Giá cả,Hài lòng
"Giá hợp lý, tôi sẽ quay lại mua tiếp.",Giá cả,Hài lòng
"Giá tốt, mua combo tiết kiệm hơn nhiều.",Giá cả,Hài lòng
Giá ok nếu mua trong khung giờ sale.,Giá cả,Hài lòng
"Giá cá phải chăng, nhãn dán của shop cũng đẹp nữa.",Giá cả,Hài lòng
Tiền đi đôi với chất lượng.,Giá cả,Hài lòng
Giá rẻ nhưng shop đóng cẩn thận lắm.,Giá cả,Hài lòng
Giá hợp lý so với chất lượng sản phẩm.,Giá cả,Hài lòng
"Giá tốt, đúng với mong đợi.",Giá cả,Hài lòng
"Giá cả minh bạch, không phát sinh thêm phí.",Giá cả,Hài lòng
Mua combo tiết kiệm được kha khá.,Giá cả,Hài lòng
Rất xứng đáng với đồng tiền bỏ ra.,Giá cả,Hài lòng
"Giá vừa túi tiền, phù hợp học sinh – sinh viên.",Giá cả,Hài lòng
"Được giảm thêm khi thanh toán online, thích ghê!",Giá cả,Hài lòng
Cảm thấy hài lòng vì được tặng mã giảm giá.,Giá cả,Hài lòng
"So sánh rồi mới mua, thấy shop này giá hợp lý nhất.",Giá cả,Hài lòng
Giá hạt dẻ so với chất lượng nha,Giá cả,Hài lòng
"Giá tốt hơn mình tưởng, nhận được sản phẩm tốt.",Giá cả,Hài lòng
"Đặt mua số lượng lớn còn được giảm thêm, tuyệt vời.",Giá cả,Hài lòng
Giá khá mềm cho chai lọ thiết kế đẹp như thế này.,Giá cả,Hài lòng
"Giá hợp lý, phù hợp để trang trí trong nhà.",Giá cả,Hài lòng
"Shop giữ giá ổn định, không nâng khống.",Giá cả,Hài lòng
"Giá vậy là tốt rồi, không cần so sánh.",Giá cả,Hài lòng
Sản phẩm rất phù hợp giá tiền.,Giá cả,Hài lòng
Giá tốt hơn so với các shop khác trên sàn.,Giá cả,Hài lòng
"Giao đúng sản phẩm, nhưng hơi chậm hơn dự kiến.",Giao hàng,Bình thường
Hàng giao khá lâu nhưng bù lại chất lượng xứng đáng với giá tiền,Giao hàng,Bình thường
"Giao đúng sản phẩm, nhưng hơi chậm hơn dự kiến.",Giao hàng,Bình thường
"Hàng đến nơi an toàn, nhưng đóng gói hơi sơ sài.",Giao hàng,Bình thường
"Không bị móp méo, nhưng hộp hơi bẩn.",Giao hàng,Bình thường
"Chờ hơi lâu, nhưng vẫn trong giới hạn cho phép.",Giao hàng,Bình thường
"Hàng không bị hư hỏng gì, chỉ hơi lâu.",Giao hàng,Bình thường
"Giao đúng mẫu, không có lỗi sai hàng.",Giao hàng,Bình thường
Thời gian giao hàng chấp nhận được.,Giao hàng,Bình thường
"Giao hàng ổn, không có gì bất thường.",Giao hàng,Bình thường
"Bao bì còn nguyên, nhưng hơi nhàu.",Giao hàng,Bình thường
Thời gian nhận hàng khá trung bình.,Giao hàng,Bình thường
"Cũng không quá nhanh, nhưng vẫn nhận được.",Giao hàng,Bình thường
"Nhân viên có hỏi ký tên, làm đúng quy trình.",Giao hàng,Bình thường
"Giao hàng trong khung giờ cho phép, nhưng hơi muộn.",Giao hàng,Bình thường
"Giao đúng địa chỉ, nhưng mất 5 ngày mới tới.",Giao hàng,Bình thường
Giao được vào cuối tuần là ổn rồi.,Giao hàng,Bình thường
"Giao hàng vào giờ nghỉ trưa, hơi bất tiện.",Giao hàng,Bình thường
"Thời gian ship tạm ổn, không ấn tượng.",Giao hàng,Bình thường
"Cũng ổn, không có vấn đề lớn.",Giao hàng,Bình thường
"Có trễ 1 ngày, nhưng được thông báo trước.",Giao hàng,Bình thường
"Có trễ hơn so với shop nói, nhưng không quá nhiều.",Giao hàng,Bình thường
"Hơi chậm, nhưng không ảnh hưởng đến việc sử dụng.",Giao hàng,Bình thường
Giao hàng đúng nhưng không gọi trước như yêu cầu.,Giao hàng,Bình thường
Thời gian nhận hàng hơi lâu so với dự định nhưng mà vẫn ổn lắm,Giao hàng,Bình thường
Đặt ba chai sữa tắm mà chỉ giao có hai chai.,Giao hàng,Bực bội
"Chai lọ đóng gói sơ sài, về đến nơi bể hết",Giao hàng,Bực bội
"Giao sai màu, không giống thứ đã đặt.",Giao hàng,Bực bội
Không giao đúng hàng.,Giao hàng,Bực bội
"Hàng giao sai địa chỉ, phải tự đến nhận.",Giao hàng,Bực bội
Đặt hàng có quà tặng nhưng không nhận được.,Giao hàng,Bực bội
Không được kiểm tra hàng khi giao,Giao hàng,Bực bội
"Chờ 10 ngày mới nhận hàng, quá lâu!",Giao hàng,Bực bội
Hàng đến nơi thì nắp chai bị vỡ.,Giao hàng,Bực bội
"Nhân viên giao hàng vô trách nhiệm, gọi ầm ĩ rồi bỏ đi.",Giao hàng,Bực bội
"Giao hàng mà không hề báo trước, làm lỡ công việc.",Giao hàng,Bực bội
"Hàng bị rách bao bì, nhìn như hàng cũ.",Giao hàng,Bực bội
"Giao sai mẫu, shop không phản hồi gì.",Giao hàng,Bực bội
"Giao trễ hẹn nhiều ngày, không một lời xin lỗi.",Giao hàng,Bực bội
"Nhận được hàng móp méo, rất bực!",Giao hàng,Bực bội
"Nhân viên giao hàng cộc lốc, thiếu tôn trọng khách.",Giao hàng,Bực bội
"Đóng gói quá cẩu thả, chai lọ đổ tung toé.",Giao hàng,Bực bội
"Gửi sai loại hàng, tôi không cần sản phẩm này.",Giao hàng,Bực bội
"Giao nhầm sản phẩm, tôi không đặt loại này.",Giao hàng,Bực bội
"Đặt hàng chai nhựa 500ml, giao loại 300ml.",Giao hàng,Bực bội
"Không đúng mẫu mã đã đặt, cực kỳ bực.",Giao hàng,Bực bội
"Đặt chai có vòi, giao chai không vòi.",Giao hàng,Bực bội
"Giao thiếu nắp đậy, không thể sử dụng.",Giao hàng,Bực bội
Chai nước mắm bị tràn ra cả hộp khi được giao đến tôi,Giao hàng,Bực bội
Không đúng loại hàng như ảnh mô tả,Giao hàng,Bực bội
Giao đúng và đầy đủ hàng đã đặt.,Giao hàng,Hài lòng
"Giao hàng siêu nhanh, đặt hôm qua nay có rồi!",Giao hàng,Hài lòng
Giao hàng đúng giờ như đã hẹn.,Giao hàng,Hài lòng
"Shop giao hàng siêu nhanh, gói hàng kỹ.",Giao hàng,Hài lòng
"Giao hàng nhanh, đóng gói cẩn thận lắm.",Giao hàng,Hài lòng
Giao hàng nhanh chóng gọn gàng! Đóng gói cẩn thận!,Giao hàng,Hài lòng
Giao hàng nhanh. đúng sản phẩm. chất lượng ok chấm 5 sao,Giao hàng,Hài lòng
"Sản phẩm nguyên vẹn, không lỗi dù đường xa.",Giao hàng,Hài lòng
"Giao hàng sớm hơn dự kiến, bất ngờ ghê!",Giao hàng,Hài lòng
"Nhận hàng nhanh, không bị chậm trễ như nhiều chỗ khác.",Giao hàng,Hài lòng
"Đơn hàng được cập nhật liên tục, dễ theo dõi.",Giao hàng,Hài lòng
Giao đủ số lượng và đúng mẫu đặt.,Giao hàng,Hài lòng
"Không bị thất lạc đơn nào, rất yên tâm.",Giao hàng,Hài lòng
"Hàng đến nơi còn nguyên tem mác, sạch sẽ.",Giao hàng,Hài lòng
"Ship nhanh, hỗ trợ giao cuối tuần.",Giao hàng,Hài lòng
Cẩn thận từng chi tiết nhỏ trong đóng gói.,Giao hàng,Hài lòng
Cảm ơn shop vì giao đúng màu yêu cầu.,Giao hàng,Hài lòng
Shop xác nhận đơn hàng rất nhanh.,Giao hàng,Hài lòng
"Mình đi vắng, shipper vẫn liên hệ rất lịch sự.",Giao hàng,Hài lòng
"Có tem niêm phong rõ ràng, rất an tâm.",Giao hàng,Hài lòng
"Giao hàng lúc tối theo yêu cầu, rất linh hoạt.",Giao hàng,Hài lòng
"Giao đúng sản phẩm, đầy đủ, màu đẹp, gói hàng cẩn thận",Giao hàng,Hài lòng
Cảm giác rất chuyên nghiệp từ khâu vận chuyển.,Giao hàng,Hài lòng
Dù đặt lúc cận lễ vẫn nhận đúng ngày.,Giao hàng,Hài lòng
Rất thích cách đóng gói cẩn thận.,Giao hàng,Hài lòng
Nhân viên tư vấn trả lời đúng nhưng hơi chậm.,Hỗ trợ khách hàng,Bình thường
Gửi mail hỏi thì phản hồi sau 2 ngày.,Hỗ trợ khách hàng,Bình thường
"Có trả lời tin nhắn, nhưng không rõ ràng lắm.",Hỗ trợ khách hàng,Bình thường
"Nhắn qua fanpage, trả lời khá chậm.",Hỗ trợ khách hàng,Bình thường
Gọi tổng đài thì được hướng dẫn cơ bản.,Hỗ trợ khách hàng,Bình thường
Không có trải nghiệm quá nổi bật.,Hỗ trợ khách hàng,Bình thường
Nhân viên gọi lại nhưng chỉ xác nhận thông tin.,Hỗ trợ khách hàng,Bình thường
Câu trả lời của nhân viên chưa thuyết phục.,Hỗ trợ khách hàng,Bình thường
Có hỗ trợ đổi trả nhưng hơi phức tạp.,Hỗ trợ khách hàng,Bình thường
"Phản hồi email không nhanh, nhưng có trả lời.",Hỗ trợ khách hàng,Bình thường
Có gửi mã giảm giá nhưng chỉ áp dụng sản phẩm khác.,Hỗ trợ khách hàng,Bình thường
"Gọi điện hỗ trợ, nhân viên giải thích đúng nhưng không chi tiết.",Hỗ trợ khách hàng,Bình thường
"Không có gì để phàn nàn, nhưng cũng không thấy hỗ trợ tốt.",Hỗ trợ khách hàng,Bình thường
Hỏi thông tin đổi trả thì phải chờ lâu.,Hỗ trợ khách hàng,Bình thường
"Gửi yêu cầu đổi màu, được xác nhận sau 1 ngày.",Hỗ trợ khách hàng,Bình thường
Có hỗ trợ nhưng chưa làm khách hàng thấy hài lòng.,Hỗ trợ khách hàng,Bình thường
CSKH làm đúng quy trình nhưng chưa thân thiện.,Hỗ trợ khách hàng,Bình thường
"Chat bot trả lời trước, sau đó mới có nhân viên.",Hỗ trợ khách hàng,Bình thường
Hỏi cách sử dụng thì gửi link hướng dẫn.,Hỗ trợ khách hàng,Bình thường
"Hỗ trợ ổn, chỉ là hơi chung chung.",Hỗ trợ khách hàng,Bình thường
"Không bị từ chối hỗ trợ, nhưng xử lý chậm.",Hỗ trợ khách hàng,Bình thường
Được hỗ trợ nhưng không để lại ấn tượng.,Hỗ trợ khách hàng,Bình thường
Tư vấn chưa nắm rõ thông tin sản phẩm.,Hỗ trợ khách hàng,Bình thường
Nhân viên hỗ trợ không nhiệt tình cũng không thờ ơ.,Hỗ trợ khách hàng,Bình thường
Không bị phớt lờ nhưng cũng không chủ động giúp.,Hỗ trợ khách hàng,Bình thường
Đã nhắn tin nhờ hỗ trợ đổi chai hư mà chưa ai phản hồi.,Hỗ trợ khách hàng,Bực bội
Shop không hỗ trợ khi tôi báo lỗi sản phẩm.,Hỗ trợ khách hàng,Bực bội
"Chai hư, tôi chụp hình gửi nhưng không ai phản hồi.",Hỗ trợ khách hàng,Bực bội
Shop không xử lý yêu cầu đổi trả trong 3 ngày.,Hỗ trợ khách hàng,Bực bội
Shop phản hồi rất chậm khi có sự cố.,Hỗ trợ khách hàng,Bực bội
Nhắn tin báo lại shop thì shop chặn mình,Hỗ trợ khách hàng,Bực bội
"Hàng lỗi, mình góp ý thì phát hiện ra shop chặn mình",Hỗ trợ khách hàng,Bực bội
Không ai chịu trách nhiệm khi đơn hàng bị lỗi.,Hỗ trợ khách hàng,Bực bội
Tôi muốn khiếu nại nhưng không biết phải làm sao.,Hỗ trợ khách hàng,Bực bội
Gửi yêu cầu hỗ trợ mà mất 2 ngày mới phản hồi.,Hỗ trợ khách hàng,Bực bội
Tôi gửi phản ánh nhiều lần nhưng bị làm lơ.,Hỗ trợ khách hàng,Bực bội
"Shop chỉ gửi tin nhắn mẫu, không giải quyết được gì.",Hỗ trợ khách hàng,Bực bội
Tôi nhắn tin cho Shop nhưng không được phản hồi.,Hỗ trợ khách hàng,Bực bội
Không hài lòng với cách shop xử lý khiếu nại lắm,Hỗ trợ khách hàng,Bực bội
Yêu cầu hoàn tiền nhưng xử lý quá lâu.,Hỗ trợ khách hàng,Bực bội
"Nhắn tin cả tuần không ai trả lời, rất bực!",Hỗ trợ khách hàng,Bực bội
"Tư vấn rất thiếu chuyên nghiệp, nói chuyện cộc lốc.",Hỗ trợ khách hàng,Bực bội
Hứa hoàn tiền mà chờ cả tháng không thấy.,Hỗ trợ khách hàng,Bực bội
"Nhân viên đổ lỗi cho bên giao hàng, không giải quyết gì.",Hỗ trợ khách hàng,Bực bội
"Không thể liên hệ sau 6 giờ tối, rất bất tiện.",Hỗ trợ khách hàng,Bực bội
Không thể liên hệ với ai để xử lý đơn hàng bị lỗi.,Hỗ trợ khách hàng,Bực bội
"Chai hư, tôi chụp hình gửi nhưng không ai phản hồi.",Hỗ trợ khách hàng,Bực bội
Đã nhắn tin nhờ hỗ trợ đổi chai nước hư mà chưa ai phản hồi.,Hỗ trợ khách hàng,Bực bội
"Giao hàng trễ năm ngày, tôi đã gọi ba lần vẫn không có ai xử lý.",Hỗ trợ khách hàng,Bực bội
Shop từ chối đổi hàng dù sản phẩm bị lỗi rõ ràng.,Hỗ trợ khách hàng,Bực bội
Xử lý hàng lỗi cho mình khá nhanh,Hỗ trợ khách hàng,Hài lòng
Nhân viên hỗ trợ rất nhiệt tình và thân thiện,Hỗ trợ khách hàng,Hài lòng
Hài lòng với cách shop xử lý sự cố giao nhầm hàng.,Hỗ trợ khách hàng,Hài lòng
Mình cần đổi màu và được xử lý rất nhanh.,Hỗ trợ khách hàng,Hài lòng
Được tư vấn kỹ càng trước khi đặt mua.,Hỗ trợ khách hàng,Hài lòng
"Nhắn tin hỏi thì được phản hồi rõ ràng, chi tiết.",Hỗ trợ khách hàng,Hài lòng
"Đổi hàng vì lỗi nhỏ, shop vẫn hỗ trợ nhiệt tình.",Hỗ trợ khách hàng,Hài lòng
Họ chủ động đề xuất đổi sản phẩm khi bị lỗi.,Hỗ trợ khách hàng,Hài lòng
Hỗ trợ rất nhanh khi tôi cần,Hỗ trợ khách hàng,Hài lòng
Chat với bên hỗ trợ rất nhanh và hiệu quả.,Hỗ trợ khách hàng,Hài lòng
"Hướng dẫn sử dụng rõ ràng, dễ làm theo.",Hỗ trợ khách hàng,Hài lòng
"CSKH cực kỳ dễ thương, nói chuyện nhẹ nhàng.",Hỗ trợ khách hàng,Hài lòng
"Được gợi ý size phù hợp trước khi mua, rất hài lòng.",Hỗ trợ khách hàng,Hài lòng
"Xử lý đổi trả nhanh chóng, không phải chờ lâu.",Hỗ trợ khách hàng,Hài lòng
"Không hề đùn đẩy trách nhiệm, xử lý thẳng thắn.",Hỗ trợ khách hàng,Hài lòng
"Được hỗ trợ cả ngoài giờ hành chính, rất linh động.",Hỗ trợ khách hàng,Hài lòng
"Có người gọi nhắc nhận hàng, cảm thấy được quan tâm.",Hỗ trợ khách hàng,Hài lòng
"Hỏi gì cũng được giải đáp, không cảm thấy phiền.",Hỗ trợ khách hàng,Hài lòng
Được shop chủ động gọi điện hỗ trợ khi có trục trặc.,Hỗ trợ khách hàng,Hài lòng
Rất chuyên nghiệp khi tiếp nhận và xử lý phản ánh.,Hỗ trợ khách hàng,Hài lòng
"Bên hỗ trợ gửi mã giảm giá cho lần mua sau, rất thiện chí.",Hỗ trợ khách hàng,Hài lòng
Nhân viên kiên nhẫn lắng nghe phản hồi của mình.,Hỗ trợ khách hàng,Hài lòng
Chat với bên hỗ trợ rất nhanh và hiệu quả.,Hỗ trợ khách hàng,Hài lòng
Cách chăm sóc khách hàng rất chuyên nghiệp.,Hỗ trợ khách hàng,Hài lòng
Bên hỗ trợ gọi lại rất nhanh để xác nhận thông tin.,Hỗ trợ khách hàng,Hài lòng
